Time,Close,Open,High,Low,,
Dec 20,78.0543,74.7273,78.0623,73.1705,-,4.97%
Nov 20,74.3612,71.5293,75.0981,71.2137,-,3.50%
Oct 20,71.8436,71.071,74.5427,69.2179,-,1.40%
Sep 20,70.8516,73.4975,73.9694,69.5005,-,-3.36%
Aug 20,73.315,68.8126,73.6435,68.7076,-,6.75%
Jul 20,68.6767,65.1165,69.0956,64.6948,-,5.70%
Jun 20,64.9762,63.5627,65.1512,62.6745,-,2.27%
May 20,63.5353,60.7592,63.8842,60.1883,-,4.33%
Apr 20,60.8983,61.6785,64.4111,58.871,-,-1.55%
Mar 20,61.8577,72.0985,73.9052,59.0877,-,-12.85%
Feb 20,70.9799,74.8416,76.7087,70.6124,-,-5.15%
Jan 20,74.8374,81.0158,82.2009,74.7505,-,-7.48%
Dec 19,80.8871,77.5047,81.6796,77.055,-,4.90%
Nov 19,77.1108,79.2898,80.9663,77.0772,-,-2.68%
Oct 19,79.2367,77.8528,79.8538,77.0414,-,1.87%
Sep 19,77.7797,77.0331,81.4445,76.4039,-,1.01%
Aug 19,77.0044,78.5229,78.5793,75.6843,-,-2.48%
Jul 19,78.9631,80.0299,81.1799,78.0445,-,-0.87%
Jun 19,79.653,77.6102,80.594,76.3485,-,2.51%
May 19,77.7043,80.5345,80.5922,77.6845,-,-3.56%
Apr 19,80.5738,81.3608,83.0812,80.3818,-,-0.63%
Mar 19,81.0872,81.4165,82.7791,79.905,-,-0.37%
Feb 19,81.3904,80.6301,82.4778,79.47,-,0.82%
Jan 19,80.7252,76.8777,81.6194,76.2729,-,5.23%
Dec 18,76.7154,83.5844,84.0406,76.6127,-,-7.08%
Nov 18,82.5607,83.225,85.0658,80.7546,-,-0.76%
Oct 18,83.1903,85.2348,87.8955,83.1487,-,-2.36%
Sep 18,85.201,83.6878,85.5742,82.0057,-,1.75%
Aug 18,83.736,85.1465,85.8433,82.0006,-,-1.94%
Jul 18,85.3947,87.1867,87.2161,82.277,-,-2.31%
Jun 18,87.4095,90.827,90.8558,85.8075,-,-3.64%
May 18,90.7159,89.4821,91.9414,88.8611,-,1.25%
Apr 18,89.593,87.9204,91.2955,85.723,-,2.42%
Mar 18,87.4729,88.126,89.1999,86.4325,-,-0.76%
