Time,Close,,,,,
Feb 21,"1,282.95","1,098.10","1,348.30","1,085.00",-,16.83%
Jan 21,"1,098.10","1,079.50","1,163.40","1,011.10",-,1.72%
Dec 20,"1,079.50",972.2,"1,092.70",932.3,-,11.04%
Nov 20,972.2,845.75,982.9,839.5,-,14.77%
Oct 20,847.1,903.3,923.3,841.7,-,-6.22%
Sep 20,903.25,936.8,989.45,821.25,-,-3.61%
Aug 20,937.05,918,"1,035.50",903.9,-,1.89%
Jul 20,919.7,852.6,"1,002.00",819.25,-,7.86%
Jun 20,852.65,877.2,908.5,790.65,-,-2.78%
May 20,877,805.7,943,757.75,-,8.88%
Apr 20,805.5,718.1,837.9,701.6,-,12.09%
Mar 20,718.65,866.3,915.85,562,-,-17.05%
Feb 20,866.35,962.65,"1,020.90",847.85,-,-10.00%
Jan 20,962.65,973.55,"1,046.55",952.85,-,-0.95%
Dec 19,971.9,898.05,990.5,886.5,-,8.22%
Nov 19,898.1,936.6,959.9,867.85,-,-4.08%
Oct 19,936.3,891.6,943.75,875.55,-,4.95%
Sep 19,892.15,936.5,"1,000.80",880.3,-,-4.75%
Aug 19,936.6,868.55,944.15,835.25,-,7.83%
Jul 19,868.6,834.3,889.6,808.35,-,4.10%
Jun 19,834.4,793,844.9,790.25,-,5.25%
May 19,792.8,891.4,892.4,788.4,-,-11.06%
Apr 19,891.4,856.4,920.4,847.8,-,4.10%
Mar 19,856.3,874.15,877.1,809.6,-,-2.04%
Feb 19,874.1,823.7,879.8,780.9,-,6.21%
Jan 19,823,801.15,836.5,788.1,-,2.70%
Dec 18,801.4,802.1,816.5,778.7,-,0.05%
Nov 18,801,841.8,881.5,799.2,-,-4.81%
Oct 18,841.5,818.6,854.4,811.4,-,2.84%
Sep 18,818.3,786.3,839,765.6,-,3.87%
Aug 18,787.8,839.4,843.8,756,-,-6.15%
Jul 18,839.4,856.7,862.1,794.7,-,-2.04%
Jun 18,856.9,909.8,914.5,846.4,-,-5.81%
May 18,909.8,906.4,930.5,877.8,-,0.38%
Apr 18,906.4,936.9,957,903.8,-,-3.22%
Mar 18,936.6,984.8,985.3,931.9,-,-4.89%
Feb 18,984.8,"1,005.20","1,016.50",960.4,-,-2.06%
Jan 18,"1,005.50",936.2,"1,033.30",934.5,-,7.59%
Dec 17,934.6,943.85,946.2,872.65,-,-0.97%
Nov 17,943.8,921.15,959.2,918.1,-,2.46%
Oct 17,921.1,914.65,950.85,906.8,-,0.63%
Sep 17,915.3,"1,001.55","1,026.30",914.55,-,-8.58%
Aug 17,"1,001.25",941.5,"1,010.40",940.95,-,6.33%
Jul 17,941.65,928.7,946.5,891.85,-,1.50%
Jun 17,927.7,949.8,969.4,911.75,-,-2.34%
May 17,949.95,950.55,967.75,894.85,-,-0.06%
Apr 17,950.5,951.65,993,938.65,-,-0.30%
Mar 17,953.4,"1,022.20","1,030.30",932.95,-,-6.74%
Feb 17,"1,022.30",999.05,"1,047.70",988.15,-,2.31%
Jan 17,999.25,906.55,"1,008.75",903.25,-,10.34%
Dec 16,905.65,910.6,952.9,889.55,-,-0.55%
Nov 16,910.65,981.75,"1,022.95",904.45,-,-7.24%
Oct 16,981.7,"1,032.70","1,036.00",927.3,-,-4.95%
Sep 16,"1,032.80","1,056.00","1,110.30","1,010.60",-,-2.19%
Aug 16,"1,055.95","1,152.40","1,199.45","1,051.50",-,-8.41%
Jul 16,"1,152.90","1,028.50","1,163.60","1,026.30",-,12.06%
Jun 16,"1,028.85",981.15,"1,033.35",956.25,-,4.87%
May 16,981.1,"1,078.90","1,092.15",967.7,-,-9.16%
Apr 16,"1,080.00",976.15,"1,082.85",938.35,-,10.62%
Mar 16,976.3,934.65,"1,010.85",931.65,-,4.52%
Feb 16,934.05,873.7,970.1,852.05,-,6.99%
Jan 16,873.05,890.95,898.9,811.6,-,-2.18%
Dec 15,892.5,832.7,895.85,825.5,-,7.25%
Nov 15,832.2,985.55,986.5,826.1,-,-15.71%
Oct 15,987.35,907.95,"1,026.60",893.45,-,8.77%
Sep 15,907.75,"1,007.45","1,023.90",899.95,-,-9.89%
Aug 15,"1,007.35",983.4,"1,038.30",945.45,-,2.36%
Jul 15,984.15,"1,076.70","1,090.90",947.35,-,-8.82%
Jun 15,"1,079.35","1,111.45","1,123.95","1,058.80",-,-2.90%
May 15,"1,111.55","1,142.40","1,179.60","1,108.95",-,-2.70%
Apr 15,"1,142.35","1,139.60","1,187.95","1,117.95",-,0.25%
Mar 15,"1,139.55","1,185.55","1,196.80","1,087.10",-,-4.13%
Feb 15,"1,188.70","1,240.45","1,258.55","1,155.10",-,-4.21%
Jan 15,"1,240.90","1,209.50","1,290.15","1,187.90",-,2.63%
Dec 14,"1,209.15","1,188.95","1,256.25","1,176.00",-,1.62%
Nov 14,"1,189.85","1,237.05","1,245.05","1,178.10",-,-3.82%
Oct 14,"1,237.05","1,292.90","1,294.80","1,187.05",-,-4.35%
Sep 14,"1,293.30","1,424.45","1,430.10","1,289.85",-,-9.22%
Aug 14,"1,424.60","1,464.50","1,488.50","1,414.55",-,-2.75%
Jul 14,"1,464.90","1,486.95","1,523.65","1,462.65",-,-1.48%
Jun 14,"1,486.90","1,453.95","1,491.55","1,421.70",-,2.29%
May 14,"1,453.55","1,427.15","1,496.95","1,412.30",-,1.86%
Apr 14,"1,426.95","1,417.50","1,471.50","1,388.20",-,0.67%
Mar 14,"1,417.45","1,448.50","1,488.95","1,395.75",-,-1.97%
Feb 14,"1,445.90","1,376.40","1,456.65","1,361.60",-,4.94%
